GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-hypermedia-api,com.baeldung,SpringHypermediaApiApplication,8,0,0,0,3,0,2,0,2,0
spring-hypermedia-api,com.baeldung.web.resource,BookResource,35,0,0,0,6,0,3,0,3,0
spring-hypermedia-api,com.baeldung.web.resource,RootResource,15,0,0,0,4,0,1,0,1,0
spring-hypermedia-api,com.baeldung.web.resource,NewCartResource,56,0,0,0,14,0,5,0,5,0
spring-hypermedia-api,com.baeldung.web.resource,NewBookResource,35,0,0,0,6,0,3,0,3,0
spring-hypermedia-api,com.baeldung.web.resource,CartResource,77,0,6,0,22,0,9,0,6,0
spring-hypermedia-api,com.baeldung.web.controller,NewCartController,110,0,4,0,20,0,10,0,8,0
spring-hypermedia-api,com.baeldung.web.controller,RootController,7,0,0,0,2,0,2,0,2,0
spring-hypermedia-api,com.baeldung.web.controller,BookController,74,0,0,0,13,0,5,0,5,0
spring-hypermedia-api,com.baeldung.web.controller,NewBookController,129,0,0,0,20,0,5,0,5,0
spring-hypermedia-api,com.baeldung.web.controller,CartController,97,0,0,0,18,0,8,0,8,0
spring-hypermedia-api,com.baeldung.web.error,Checks,9,0,2,0,3,0,2,0,1,0
spring-hypermedia-api,com.baeldung.web.error,ApiError,51,0,0,0,19,0,8,0,8,0
spring-hypermedia-api,com.baeldung.web.error,GlobalExceptionHandlerController,21,0,0,0,4,0,2,0,2,0
spring-hypermedia-api,com.baeldung.model,Book,120,51,27,3,43,11,29,2,14,2
spring-hypermedia-api,com.baeldung.model,BookView,3,0,0,0,1,0,1,0,1,0
spring-hypermedia-api,com.baeldung.model,Cart,61,37,16,2,20,9,13,3,4,3
